What is the genotype group,HOM_REF,HOM_REF,HET,HET,,
,Count,Percent,Count,Percent,Corrected p values,p values
Ventricular septal defect [HP:0001629],42/71,59%,19/19,100%,0.0152413821862072,0.00024192670136836825
Abnormal atrioventricular conduction [HP:0005150],1/23,4%,3/3,100%,0.04846153846153847,0.0015384615384615387
Absent thumb [HP:0009777],18/100,18%,14/31,45%,0.07798710183641847,0.003713671516019927
Atrioventricular block [HP:0001678],1/23,4%,2/2,100%,0.1575,0.01
Patent ductus arteriosus [HP:0001643],6/40,15%,2/2,100%,0.4097560975609756,0.03252032520325203
Secundum atrial septal defect [HP:0001684],23/55,42%,4/22,18%,0.5929496090819127,0.06544319142266644
Triphalangeal thumb [HP:0001199],23/99,23%,13/32,41%,0.5929496090819127,0.06932119159387057
Cardiac conduction abnormality [HP:0031546],15/37,41%,3/3,100%,0.5929496090819127,0.08259109311740892
Muscular ventricular septal defect [HP:0011623],8/84,10%,6/25,24%,0.5929496090819127,0.08470708701170182
Pulmonary arterial hypertension [HP:0002092],8/14,57%,0/2,0%,1.0,0.4666666666666667
Short thumb [HP:0009778],25/69,36%,8/30,27%,1.0,0.48700997145537483
Absent radius [HP:0003974],9/43,21%,6/25,24%,1.0,0.7703831604944444
Atrial septal defect [HP:0001631],63/65,97%,20/20,100%,1.0,1.0
Abnormal atrial septum morphology [HP:0011994],64/64,100%,20/20,100%,1.0,1.0
Abnormal cardiac septum morphology [HP:0001671],89/89,100%,28/28,100%,1.0,1.0
Abnormal cardiac atrium morphology [HP:0005120],64/64,100%,20/20,100%,1.0,1.0
Aplasia/Hypoplasia of the thumb [HP:0009601],40/40,100%,19/19,100%,1.0,1.0
Aplasia/Hypoplasia of fingers [HP:0006265],44/44,100%,19/19,100%,1.0,1.0
Aplasia/hypoplasia involving bones of the hand [HP:0005927],44/44,100%,19/19,100%,1.0,1.0
Aplasia/hypoplasia involving bones of the upper limbs [HP:0006496],78/78,100%,22/22,100%,1.0,1.0
Aplasia/hypoplasia involving bones of the extremities [HP:0045060],78/78,100%,22/22,100%,1.0,1.0
Aplasia/hypoplasia of the extremities [HP:0009815],78/78,100%,22/22,100%,1.0,1.0
Aplasia/hypoplasia involving the skeleton [HP:0009115],80/80,100%,23/23,100%,1.0,1.0
Abnormal appendicular skeleton morphology [HP:0011844],93/93,100%,34/34,100%,1.0,1.0
Abnormal hand morphology [HP:0005922],75/75,100%,20/20,100%,1.0,1.0
Abnormal finger morphology [HP:0001167],64/64,100%,31/31,100%,1.0,1.0
Abnormal digit morphology [HP:0011297],67/67,100%,33/33,100%,1.0,1.0
Abnormal thumb morphology [HP:0001172],58/58,100%,31/31,100%,1.0,1.0
Finger aplasia [HP:0009380],23/23,100%,14/14,100%,1.0,1.0
Aplasia involving forearm bones [HP:0009822],9/9,100%,6/6,100%,1.0,1.0
Aplasia/hypoplasia involving forearm bones [HP:0006503],43/43,100%,12/12,100%,1.0,1.0
Abnormal forearm bone morphology [HP:0040072],43/43,100%,14/14,100%,1.0,1.0
Aplasia/Hypoplasia of the radius [HP:0006501],43/43,100%,11/11,100%,1.0,1.0
Abnormal morphology of the radius [HP:0002818],43/43,100%,13/13,100%,1.0,1.0
Absent forearm bone [HP:0003953],9/9,100%,6/6,100%,1.0,1.0
Abnormal ventricular septum morphology [HP:0010438],42/42,100%,19/19,100%,1.0,1.0
Abnormal cardiac ventricle morphology [HP:0001713],43/43,100%,19/19,100%,1.0,1.0
Abnormal axial skeleton morphology [HP:0009121],9/9,100%,5/5,100%,1.0,1.0
Abnormal thorax morphology [HP:0000765],7/7,100%,5/5,100%,1.0,1.0
Abnormality of thumb phalanx [HP:0009602],26/26,100%,13/13,100%,1.0,1.0
Congenital malformation of the great arteries [HP:0011603],7/7,100%,2/2,100%,1.0,1.0
Abnormal morphology of the great vessels [HP:0030962],10/10,100%,2/2,100%,1.0,1.0
Abnormal blood vessel morphology [HP:0033353],11/11,100%,2/2,100%,1.0,1.0
Atrioventricular valve regurgitation [HP:0034376],7/7,100%,2/2,100%,1.0,1.0
Abnormal atrioventricular valve physiology [HP:0031650],7/7,100%,2/2,100%,1.0,1.0
Short finger [HP:0009381],27/27,100%,8/8,100%,1.0,1.0
Short digit [HP:0011927],28/28,100%,10/10,100%,1.0,1.0
Abnormality of the elbow [HP:0009811],2/2,100%,5/5,100%,1.0,1.0
Abnormal joint morphology [HP:0001367],33/33,100%,6/6,100%,1.0,1.0
Abnormality of joint mobility [HP:0011729],3/3,100%,5/5,100%,1.0,1.0
Deviation of the hand or of fingers of the hand [HP:0009484],5/5,100%,2/2,100%,1.0,1.0
Atrioventricular canal defect [HP:0006695],6/6,100%,3/3,100%,1.0,1.0
Hypoplasia of the radius [HP:0002984],34/75,45%,6/14,43%,1.0,1.0
Forearm undergrowth [HP:0009821],35/35,100%,7/7,100%,1.0,1.0
Upper limb undergrowth [HP:0009824],38/38,100%,7/7,100%,1.0,1.0
Short long bone [HP:0003026],41/41,100%,9/9,100%,1.0,1.0
Abnormal long bone morphology [HP:0011314],50/50,100%,13/13,100%,1.0,1.0
Phocomelia [HP:0009829],8/8,100%,2/2,100%,1.0,1.0
Finger syndactyly [HP:0006101],5/5,100%,2/2,100%,1.0,1.0
Short humerus [HP:0005792],8/21,38%,4/9,44%,1.0,1.0
Aplasia/hypoplasia of the humerus [HP:0006507],8/8,100%,4/4,100%,1.0,1.0
Hypoplasia of the ulna [HP:0003022],3/17,18%,2/10,20%,1.0,1.0
Abnormal morphology of ulna [HP:0040071],4/4,100%,4/4,100%,1.0,1.0
